timeHMS,emotion_level,subject
2020-11-11 15:15:22,4,B
2020-11-11 15:15:39,3,A
2020-11-11 15:15:59,2,C
2020-11-11 15:16:14,3,A
2020-11-11 15:16:21,2,B
2020-11-11 15:16:39,4,A
2020-11-11 15:17:06,3,C
2020-11-11 15:17:32,1,B
2020-11-11 15:17:49,3,A
2020-11-11 15:18:20,4,B
2020-11-11 15:18:32,2,C
2020-11-11 15:18:54,2,B
2020-11-11 15:19:16,4,C
2020-11-11 15:19:58,4,B
2020-11-11 15:20:30,2,A
2020-11-11 15:20:44,4,B
2020-11-11 15:21:06,-1,C
2020-11-11 15:21:22,1,A
2020-11-11 15:21:54,3,B
2020-11-11 15:22:14,3,C
2020-11-11 15:22:32,4,B
2020-11-11 15:22:44,2,A
2020-11-11 15:23:34,0,C
2020-11-11 15:23:44,4,B
2020-11-11 15:24:22,2,B
2020-11-11 15:24:42,2,A
2020-11-11 15:24:56,4,B
2020-11-11 15:25:21,4,A
2020-11-11 15:25:44,3,B
2020-11-11 15:26:09,4,B
2020-11-11 15:26:28,2,C
2020-11-11 15:26:39,4,B
2020-11-11 15:27:32,3,C
2020-11-11 15:28:09,3,B
2020-11-11 15:28:21,3,B
2020-11-11 15:28:40,-1,C
2020-11-11 15:29:12,3,A
2020-11-11 15:29:37,0,B
