accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
7917.795,214.37,-5485.43,22.635,-240.49,188.18,231819.53297500004,1148236.6930999998,414757.17510000005,3951086.9217750006,1083775.0399,1733424.547599999,9096,4727,-3975,6987,2780,5943,6286,-3016,-8301,-8939,-2908,-4069,9.448818897637796,183.31752720361862,20.472440944881892,232.91601040584186
8020.425,-282.38,-5372.92,35.315,595.27,3.015,45088.194375,12863.695600000012,103485.89359999995,63904.72577499992,1629936.4870999998,21024.174775000007,8342,154,-4639,932,6042,363,7175,-570,-6396,-622,-1566,-349,7.874015748031496,208.99882548367665,1.5748031496062993,1122.5655741692087
8116.94,-430.08,-5232.89,-92.515,-52.03,24.495,13543.11639999999,5795.923600000001,29175.547899999994,23034.26977499999,150932.36910000007,12493.519974999996,8342,-258,-4873,256,957,345,7846,-616,-5583,-463,-1152,-172,12.598425196850394,63.12821353791768,14.173228346456694,124.28855514407405
7631.29,-544.925,-5813.1,-158.375,17.175,38.2,5033.435899999999,12109.099375000013,20372.47,38279.874375,66429.52437499988,13885.49000000003,7873,-306,-5496,359,799,278,7475,-919,-6235,-756,-761,-312,11.023622047244094,98.91158386578252,6.299212598425197,121.61660871181083
7790.15,-354.4,-5675.535,-28.675,496.17,-46.45,59342.02749999999,21569.46999999997,299817.4587749999,109013.82937499991,861817.4111000003,52289.34749999999,8286,25,-4558,810,2286,522,7190,-721,-7004,-847,-1658,-672,12.598425196850394,409.36610847132954,1.5748031496062993,268.80774865620606
7283.31,-1154.29,-6118.315,-88.64,-65.125,18.77,14513.173900000003,7661.905900000002,60470.92577499998,33913.36040000001,147555.809375,9380.177099999994,7546,-902,-5378,524,1103,309,6963,-1334,-6919,-628,-1018,-349,18.897637795275593,119.35424915700558,3.1496062992125986,125.2636384376918
7320.785,-1245.305,-6062.68,-121.715,47.145,36.525,10391.868775000003,11149.141974999995,28479.98760000001,54322.213775,108890.88397500005,13714.17937499999,7568,-951,-5571,554,622,315,7063,-1468,-6455,-726,-1030,-227,15.748031496062993,94.40942287441987,12.598425196850394,134.04484811200402
7868.685,-950.885,-5490.2,-45.2,214.53,7.85,7584.325775,11456.451774999996,27067.460000000025,29157.370000000024,131429.48910000018,11423.817500000006,8120,-682,-5059,438,1341,351,7649,-1270,-5950,-457,-542,-300,11.023622047244094,68.89487546299516,4.724409448818898,149.10865854963959
7213.035,-634.56,-6249.38,42.305,600.29,-54.3,65396.93377500002,9888.8264,147018.75559999997,93263.42197500002,1152155.8758999999,26678.00000000002,7634,-396,-5061,938,4732,333,6745,-938,-6941,-689,-1103,-520,11.023622047244094,147.5483989684126,1.5748031496062993,1127.3236300714016
8708.935,-343.105,-4373.825,-75.63,18.58,9.405,2398.180775,2679.1739750000006,7993.724375000002,12995.493100000003,40704.64360000001,5433.120974999999,8852,-185,-4116,280,671,144,8603,-499,-4702,-372,-347,-209,17.322834645669293,45.84834547783716,3.1496062992125986,86.06374426770435
8356.295,-643.85,-4894.595,52.225,341.225,-24.625,10496.307974999996,2918.347499999999,23038.610975000003,18100.504374999975,106363.1543750002,7627.594375,8576,-511,-4563,584,1152,187,8061,-775,-5225,-195,-341,-325,7.874015748031496,57.22680483780151,1.5748031496062993,198.97653018072657
7258.395,220.21,-6291.69,66.71,7.53,278.49,104163.02897500005,144341.3359,181923.93389999995,627276.3959000002,934545.5191000002,394370.4699000001,8120,997,-5083,2560,2573,1668,6482,-360,-7239,-1860,-3103,-1629,11.023622047244094,277.887417187327,6.299212598425197,494.3395882827425
7189.375,56.105,-6318.01,-85.385,23.57,5.765,3168.464375,2261.613974999999,7875.229899999998,8707.656775000001,29987.675100000015,3196.129775,7334,186,-6072,189,451,174,7063,-68,-6589,-360,-396,-123,20.472440944881892,41.65670214186047,1.5748031496062993,55.883883777561046
7996.675,-218.09,-5397.67,24.25,213.655,-16.48,7652.419374999998,3012.8819,19626.7811,23927.5175,94044.265975,4995.1496,8227,-43,-4856,426,1079,181,7815,-374,-5686,-268,-389,-215,9.448818897637796,55.47827241618135,1.5748031496062993,209.44703867958367
8118.23,-222.33,-5261.805,-140.275,-155.105,12.81,33223.16710000002,5515.671099999998,87513.83697500004,24187.68937499996,475353.4939750005,19776.22389999999,8528,5,-4580,165,957,351,7722,-394,-5896,-463,-1975,-276,4.724409448818898,105.10599194695405,3.1496062992125986,264.1550473129281
8298.325,197.2,-4995.69,-57.91,48.9,5.715,4389.709374999997,3277.229999999996,16269.863900000002,5148.261900000002,78565.39000000007,7016.153774999995,8457,355,-4697,116,853,217,8127,32,-5417,-274,-469,-197,17.322834645669293,64.45945321220928,6.299212598425197,117.08880354720614
